,Unnamed: 0,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,nfe
0,0,414.0,0.1347224712371826,98,142,20,51,21,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,100
0,0,643.0,158.4642014503479,56,73,57,90,21,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,100090
0,0,631.0,12.21060061454773,114,21,51,96,73,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10144
0,0,631.0,12.387299060821531,229,21,51,96,73,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10289
0,0,631.0,12.553378105163574,229,21,51,168,73,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10431
0,0,636.0,12.720868587493896,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10576
0,0,636.0,12.884244441986084,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10721
0,0,636.0,13.04606318473816,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10864
0,0,636.0,13.217745780944824,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11008
0,0,636.0,13.409584760665894,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11155
0,0,621.0,1.412527561187744,27,43,139,77,223,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1116
0,0,636.0,13.578808784484863,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11298
0,0,636.0,13.773727893829346,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11446
0,0,636.0,13.93497633934021,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11589
0,0,636.0,14.121660470962524,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11735
0,0,636.0,14.287053346633911,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11879
0,0,636.0,14.45670199394226,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12024
0,0,636.0,14.628889560699465,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12171
0,0,636.0,14.804419994354248,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12316
0,0,636.0,14.979188919067385,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12464
0,0,636.0,15.145453691482544,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12608
0,0,621.0,1.5860817432403564,27,43,139,77,223,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1266
0,0,636.0,15.391151666641235,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12754
0,0,636.0,15.561220169067385,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12899
0,0,636.0,15.730890035629272,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,13048
0,0,636.0,15.8962562084198,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,13191
0,0,636.0,16.0571072101593,39,0,51,10,35,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,13335
