,Unnamed: 0,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,nfe
0,0,315.0,0.3615622520446777,776,568,229,400,278,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,100
0,0,851.0,358.3519284725189,644,573,688,685,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,100131
0,0,711.0,35.99225068092346,644,395,329,584,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10073
0,0,711.0,36.471322536468506,644,395,329,584,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10216
0,0,711.0,36.988046169281006,644,395,329,584,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10363
0,0,711.0,37.507404804229736,644,395,329,584,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10506
0,0,711.0,38.04146599769592,644,395,329,584,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10652
0,0,711.0,38.55476760864258,644,395,329,584,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10799
0,0,711.0,39.07140517234802,644,395,329,584,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10945
0,0,711.0,39.58129596710205,644,395,329,584,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11092
0,0,473.0,4.010589838027954,308,500,362,620,564,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1116
0,0,753.0,40.13886404037476,644,481,329,600,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11239
0,0,753.0,40.647671699523926,644,481,329,600,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11384
0,0,753.0,41.17876648902893,644,481,329,600,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11534
0,0,753.0,41.687172651290894,644,481,329,600,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11677
0,0,753.0,42.2051305770874,644,481,329,600,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11826
0,0,753.0,42.72834300994873,644,481,329,600,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,11972
0,0,753.0,43.23935103416443,644,481,329,600,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12116
0,0,753.0,43.74049735069275,644,481,329,600,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12264
0,0,753.0,44.28904461860657,644,481,329,600,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12408
0,0,753.0,44.77927017211914,644,481,329,600,484,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,12552
